#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
REALM_SIZE_TRIGGER;Realm Size is $COMPARISON$ $VALUE|Y$;Taille du pays $COMPARISON$ $VALUE|Y$;Reichsgröße ist $COMPARISON$ $VALUE|Y$;;Tamaño de reino es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
REALM_LEVIES_TRIGGER;Current realm leavies are $COMPARISON$ $VALUE|Y$;Levées actuelle du pays $COMPARISON$ $VALUE|Y$;Momentanes Reichsaufgebot ist $COMPARISON$ $VALUE|Y$;;Levas actuales del reino son $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MAX_REALM_LEVIES_TRIGGER;Max realm leavies are $COMPARISON$ $VALUE|Y$;Levées maximales du pays $COMPARISON$ $VALUE|Y$;Maximales Reichsaufgebot ist $COMPARISON$ $VALUE|Y$;;Levas máx. del reino son $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_OF_TITLES_TRIGGER;Number of titles held is $COMPARISON$ $VALUE|Y$;Nombre de titres détenus $COMPARISON$ $VALUE|Y$;Anzahl der gehaltenen Titel ist $COMPARISON$ $VALUE|Y$;;Número de títulos poseídos es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_OF_TITLES_OF_TIER_TRIGGER;Number of titles of tier $TIER|Y$ held is $COMPARISON$ $VALUE|Y$;Nombre de titres détenus de rang $TIER|Y$ $COMPARISON$ $VALUE|Y$;Anzahl der gehaltenen Titel der Stufe $TIER|Y$ ist $COMPARISON$ $VALUE|Y$;;Número de títulos de rango $TIER|Y$ poseídos es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_OF_TITLES_IN_REALM_TRIGGER;Number of titles in realm is $COMPARISON$ $VALUE|Y$;Nombre de titres dans le pays $COMPARISON$ $VALUE|Y$;Anzahl der Titel im Reich ist $COMPARISON$ $VALUE|Y$;;Número de títulos en el reino es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_OF_TITLES_OF_TIER_IN_REALM_TRIGGER;Number of titles of tier $TIER|Y$ in realm is $COMPARISON$ $VALUE|Y$;Nombre de titres de rang $TIER|Y$ dans le pays $COMPARISON$ $VALUE|Y$;Anzahl der gehaltenen Titel der Stufe $TIER|Y$ im Reich ist $COMPARISON$ $VALUE|Y$;;Número de títulos de rango $TIER|Y$ en reino es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
RELATIVE_TROOP_TRIGGER;Flank has $COMPARISON$ $VALUE|Y$% $TROOP|Y$ relative to$ENEMY|Y$$MAXTROOP|Y$;Proportion de $TROOP|Y$ dans le flan $COMPARISON$ $VALUE|Y%$ des $MAXTROOP|Y$ de $ENEMY|Y$;Flanke hat $COMPARISON$ §Y$VALUE$%§! $TROOP|Y$ verglichen mit $ENEMY|Y$$MAXTROOP|Y$;;Flanco tiene $COMPARISON$ $VALUE|Y$% $TROOP|Y$ en relación a $ENEMY|Y$$MAXTROOP|Y$;;;;;;;;;x
TROOP_TRIGGER;Flank has $COMPARISON$ $VALUE|Y$% $TROOP|Y$;Proportion de $TROOP|Y$ $COMPARISON$ $VALUE|Y%$ dans le flan;Flanke hat $COMPARISON$ §Y$VALUE$%§! $TROOP|Y$;;Flanco tiene $COMPARISON$ $VALUE|Y$% $TROOP|Y$;;;;;;;;;x
NUM_SETTLEMENTS_TRIGGER;Province has $COMPARISON$ $VALUE|Y$ settlements;Nombre de propriétés dans la province $COMPARISON$ $VALUE|Y$;Provinz hat $COMPARISON$ $VALUE|Y$ Siedlungen;;Provincia tiene $COMPARISON$ $VALUE|Y$ asentamientos;;;;;;;;;x
MAX_SETTLEMENTS_TRIGGER;Province can have $COMPARISON$ $VALUE|Y$ settlements;Nombre de propriétés que peut avoir la province $COMPARISON$ $VALUE|Y$;Provinz kann $COMPARISON$ $VALUE|Y$ Siedlungen haben;;Provincia puede tener $COMPARISON$ $VALUE|Y$ asentamientos;;;;;;;;;x
EMPTY_SETTLEMENTS_TRIGGER;Province has room for $COMPARISON$ $VALUE|Y$ more settlements;Nombre d'emplacement de propriétés de la province $COMPARISON$ $VALUE|Y$;Provinz hat Raum für $COMPARISON$ $VALUE|Y$ Siedlungen mehr;;Provincia tiene sitio para $COMPARISON$ $VALUE|Y$ más asentamientos;;;;;;;;;x
START_DATE_TRIGGER;Start date was $COMPARISON$ $VALUE|Y$;Date de départ $COMPARISON$ $VALUE|Y$;Startdatum war $COMPARISON$ $VALUE|Y$;;Fecha de inicio fue $COMPARISON$ $VALUE|Y$;;;;;;;;;x
CURRENT_DATE_TRIGGER;Current date is $COMPARISON$ $VALUE|Y$;Date actuelle $COMPARISON$ $VALUE|Y$;Momentanes Datum ist $COMPARISON$ $VALUE|Y$;;Fecha actual $COMPARISON$ $VALUE|Y$;;;;;;;;;x
LOOT_TRIGGER;Loot carried is $COMPARISON$ $VALUE|Y$;Butin transporté $COMPARISON$ $VALUE|Y$;Getragene Beute ist $COMPARISON$ $VALUE|Y$;;Botín portado $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_FEUDS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ feuds;Nombre de querelles $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Fehden;;Tiene $COMPARISON$ $VALUE|Y$ feudos;;;;;;;;;x
DEMESNE_GARRISON_TRIGGER;Demesne garrison is $COMPARISON$ $VALUE|Y$ men;Garnison du domaine $COMPARISON$ $VALUE|Y$ hommes;Garnison der Domäne ist $COMPARISON$ $VALUE|Y$;;Guarnición dominios es $COMPARISON$ $VALUE|Y$ hombres;;;;;;;;;x
AI_AMBITION_TRIGGER;AI Ambition is $COMPARISON$ $VALUE|Y$;Ambition de l'IA $COMPARISON$ $VALUE|Y$;KI-Ambition ist $COMPARISON$ $VALUE|Y$;;Ambición IA es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
AI_HONOR_TRIGGER;AI Honor is $COMPARISON$ $VALUE|Y$;Honneur de l'IA $COMPARISON$ $VALUE|Y$;KI-Ehre ist $COMPARISON$ $VALUE|Y$;;Honor IA $COMPARISON$ $VALUE|Y$;;;;;;;;;x
AI_RATIONALITY_TRIGGER;AI Rationality is $COMPARISON$ $VALUE|Y$;Rationalité de l'IA $COMPARISON$ $VALUE|Y$;KI-Rationalität ist $COMPARISON$ $VALUE|Y$;;Racionalidad IA es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
AI_GREED_TRIGGER;AI Greed is $COMPARISON$ $VALUE|Y$;Cupidité de l'IA $COMPARISON$ $VALUE|Y$;KI-Gier ist $COMPARISON$ $VALUE|Y$;;Codicia IA es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
AI_ZEAL_TRIGGER;AI Zeal is $COMPARISON$ $VALUE|Y$;Zèle de l'IA $COMPARISON$ $VALUE|Y$;KI-Fanatismus ist $COMPARISON$ $VALUE|Y$;;Celo IA es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
NUM_GOVERNMENT_VASSALS_TRIGGER;Number of vassals of $GOVERNMENT|Y$ is $COMPARISON$ $VALUE|Y$;Nombre de vassaux d'un gouvernement de type '$GOVERNMENT|Y$' $COMPARISON$ $VALUE|Y$;Anzahl der Vasallen des Typs $GOVERNMENT|Y$ ist $COMPARISON$ $VALUE|Y$;;Número de vasallos de $GOVERNMENT|Y$ es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MERCENARY_SIPHON_FACTOR_TRIGGER;The payment factor for $TITLE|Y$ is $COMPARISON$ $VALUE|Y$%;Le facteur de paiement pour $TITLE|Y$ est $COMPARISON$ $VALUE|Y%$;Zahlungsfaktor für $TITLE|Y$ ist $COMPARISON$ §Y$VALUE$%§!;;El factor de pago por $TITLE|Y$ es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
INFAMY_TRIGGER;Has a threat level of $COMPARISON$ $VALUE|Y$%;Niveau de menace $COMPARISON$ $VALUE|Y%$;Hat Bedrohungsstufe von $COMPARISON$ §Y$VALUE$%§!;;Tiene un nivel de amenaza de $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
SYMPTOMS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ symptoms;Nombre de symptômes $COMPARISON$ $VALUE|Y$;Hat $COMPARISON$ $VALUE|Y$ Symptome;;Tiene $COMPARISON$ $VALUE|Y$ síntomas;;;;;;;;;x
MONTHLY_PRESTIGE_TRIGGER;Monthly Prestige gain is $COMPARISON$ $VALUE|Y$;Gain mensuel de prestige $COMPARISON$ $VALUE|Y$;Monatlicher Prestige-Erhalt ist $COMPARISON$ $VALUE|Y$;;Prestigio mensual ganado es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
MONTHLY_PIETY_TRIGGER;Monthly [This.Religion.GetPietyName] gain is $COMPARISON$ $VALUE|Y$;Gain mensuel de piété $COMPARISON$ $VALUE|Y$;Monatlicher [This.Religion.GetPietyName]-Erhalt ist $COMPARISON$ $VALUE|Y$;;Ganancia mensual de [This.Religion.GetPietyName] es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
REGIONAL_PERCENTAGE_TRIGGER;$COMPARISON$ $PERCENT|Y$ ($VALUE|Y$) counties of $REGION$:;Nombre de comté $COMPARISON$ $PERCENT|Y$ ($VALUE|Y$) en $REGION$;$COMPARISON$ $PERCENT|Y$ ($VALUE|Y$) der Grafschaften sind $REGION$:;;$COMPARISON$ $PERCENT|Y$ ($VALUE|Y$) condados de $REGION$:;;;;;;;;;x
YEARS_PLAYED_TRIGGER;The game has lasted $COMPARISON$ $VALUE|Y$ years;Nombre d'années de la partie $COMPARISON$ $VALUE|Y$;Das Spiel dauerte $COMPARISON$ $VALUE|Y$ Jahre an;;La partida ha durado $COMPARISON$ $VALUE|Y$ años;;;;;;;;;x
HOSPITAL_LEVEL_TRIGGER;Hospital Level is $COMPARISON$ $VALUE|Y$;Niveau de l'hôpital $COMPARISON$ $VALUE|Y$;Hospital-Stufe ist $COMPARISON$ $VALUE|Y$;;Nivel de hospital es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
DISEASE_DEFENSE_TRIGGER;Disease Defense is $COMPARISON$ $VALUE|Y$%;Résistance à la maladie $COMPARISON$ $VALUE|Y%$;Krankheitsresistenz ist $COMPARISON$ §Y$VALUE$%§!;;Defensa de enfermedades es $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
HAS_ASSIGNED_MINOR_TITLE_COUNT;$WHO|Y$ has assigned $COMPARISON$ $VALUE|Y$ of the honorary title $TITLE|Y$;Nombre des titres honorifiques '$TITLE|Y$' attribués par $WHO|Y$ $COMPARISON$ $VALUE|Y$;$WHO|Y$ hat $COMPARISON$ $VALUE|Y$ des Ehrentitel $TITLE|Y$ verliehen;;$WHO|Y$ tiene asignados $COMPARISON$ $VALUE|Y$ de los títulos honorarios $TITLE|Y$;;;;;;;;;x
WAR_PARTICIPATION_TRIGGER;$WHO|Y$ has a war participating $COMPARISON$ $VALUE|Y$%;$WHO|Y$ a une participation à l'effort de guerre $COMPARISON$ $VALUE|Y%$;$WHO|Y$ hat eine Kriegsteilnahme von $COMPARISON$ §Y$VALUE$%§!;;$WHO|Y$ tiene una participación en guerra de $COMPARISON$ $VALUE|Y$%;;;;;;;;;x
NUM_ARTIFACTS_TRIGGER;Has $COMPARISON$ $VALUE|Y$ artifacts (currently: $CUR|Y$);Nombre d'artefact $COMPARISON$ $VALUE|Y$ (actuellement: $CUR|Y$);Hat $COMPARISON$ $VALUE|Y$ Artefakte (momentan: $CUR|Y$);;Tiene $COMPARISON$ $VALUE|Y$ artefactos (actualmente: $CUR|Y$);;;;;;;;;x
DAY_OF_BIRTH_TRIGGER;Day of birth is $COMPARISON$ the $VALUE|Y$ day of the month;Jour de naissance $COMPARISON$ $VALUE|Y$;Tag der Geburt ist $COMPARISON$ der $VALUE|Y$ Tag des Monats;;Día de nacimiento es $COMPARISON$ el $VALUE|Y$ día del mes;;;;;;;;;x
MONTH_OF_BIRTH_TRIGGER;Month of birth is $COMPARISON$ the $VALUE|Y$ month of the year;Mois de naissance $COMPARISON$ $VALUE|Y$;Monat der Geburt ist $COMPARISON$ der $VALUE|Y$ Monat des Jahres;;Mes de nacimiento es $COMPARISON$ el $VALUE|Y$ mes del año;;;;;;;;;x
YEAR_OF_BIRTH_TRIGGER;Year of birth is $COMPARISON$ $VALUE|Y$;Année de naissance $COMPARISON$ $VALUE|Y$;Jahr der Geburt ist $COMPARISON$ $VALUE|Y$;;Año de nacimiento es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
RULE_GROUP_JD;Jade Dragon;Dragon de Jade (Jade Dragon);Jade Dragon;;Jade Dragon;;;;;;;;;x
INTERACTION_REQUIRES_ARTIFACT;An artifact must be selected;Un artefact doit être sélectionné;Ein Artefakt muss ausgewählt sein;;Debe elegirse un artefacto;;;;;;;;;x
#SUCC_CHANGE_OPINION_HIGH_TIER;No Count or higher tier vassal of this has a negative opinion of you;Aucun vassal de rang comte ou supérieur n'a d'opinion négative envers vous;Kein Graf oder höherer Vasall hat negative Meinung von Euch;;Ningún conde o vasallo de rango mayor a este tiene una opinión negativa de ti;;;;;;;;;x
TRADEZONE_VALUE_SOURCES;Trade Value of $WEALTH|Y$ combined from:;Valeur commerciale de $WEALTH|Y$ combinée de:;Handelswert von $WEALTH|Y$ zusammengefasst aus:;;Valor comercial de $WEALTH|Y$ combinado de:;;;;;;;;;x
ARTIFACT_CAN_BE_GIVEN_TO_TRIGGER;Can be given to $WHO|Y$;Peut être donné à $WHO|Y$;Kann $WHO|Y$ gegeben werden;;Puede entregarse a $WHO|Y$;;;;;;;;;x
ARTIFACT_CAN_BE_GIVEN_TO_TRIGGER_NOT;Can NOT be given to $WHO|Y$;Ne peut pas être donné à $WHO|Y$;Kann $WHO|Y$ NICHT gegeben werden;;NO puede entregarse a $WHO|Y$;;;;;;;;;x
TOTAL_SETTLEMENT_INCOME;Total income: $INCOME|Y$;Revenu total: $INCOME|Y$;Gesamteinkommen: $INCOME|Y$;;Ingresos totales: $INCOME|Y$;;;;;;;;;x
RALLY_POINTS_ARMY;Army Rally Points;Points de ralliement des armées;Armee-Sammelpunkte;;Puntos de reunión del ejército;;;;;;;;;x
RALLY_POINTS_NAVY;Navy Rally Points;Points de ralliement des flottes;Marine-Sammelpunkte;;Puntos de reunión de la armada;;;;;;;;;x
RALLY_POINTS_ARMY_DESC;Raised Army Levies will automatically start moving to the nearest of these Counties:;Les troupes levées se rendront d'elles-même dans le comté le plus proche:;Ausgehobene Armeen bewegen sich automatisch zur nächsten dieser Grafschaften;;Las tropas reclutadas empezarán a moverse al condado más cercano de los siguientes:;;;;;;;;;x
RALLY_POINTS_NAVY_DESC;Raised Navy Levies will automatically start moving to the nearest of these Counties:;Les flottes levées se rendront d'elles-même dans le comté le plus proche:;Ausgehobene Flotten bewegen sich automatisch zur nächsten dieser Grafschaften;;Las tropas navales reclutadas empezarán a moverse al condado más cercano de los siguientes:;;;;;;;;;x
REMOVE_RALLY_POINT;§YRemove Rally Point§!;§YSupprimer le point de ralliement§!;§YSammelpunkt entfernen§!;;§YRetirar punto de reunión§!;;;;;;;;;x
ADD_RALLY_POINT;§YAdd Rally Points§!;§YAjouter des points de ralliement§!;§YSammelpunkt hinzufügen§!;;§YAñadir punto de reunión§!;;;;;;;;;x
RALLY_POINT_INCOMING;Incoming: $NUM|Y$;En approche: $NUM|Y$;Ankommend: $NUM|Y$;;Llegando: $NUM|Y$;;;;;;;;;x
ARMY_RALLY_POINTS_INTERFACE_LABEL;§YArmy Rally Points§!;§YRalliement terrestre§!;§YArmee-Sammelpunkte§!;;§YPuntos de reunión del ejército§!;;;;;;;;;x
NAVY_RALLY_POINTS_INTERFACE_LABEL;§YNavy Rally Points§!;§YRalliement naval§!;§YMarine-Sammelpunkte§!;;§YPuntos de reunión de la armada§!;;;;;;;;;x
REVOKE_TITLE_INTERACTION_VOTE;§Y[Actor.GetTitledName]§! revoked a landed title from §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! a révoqué un titre terrien de §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! hat §Y[Recipient.GetTitledName]§! einen Landtitel entzogen;;§Y[Actor.GetTitledName]§! retiró un título a §Y[Recipient.GetTitledName]§!;;;;;;;;;x
#REVOKE_TITLE_INTERACTION_VOTE;§Y[Actor.GetTitledName]§! revoked a landed title from §Y[Recipient.GetTitledName]§!;;§Y[Actor.GetTitledName]§! hat §Y[Recipient.GetTitledName]§! einen Landtitel entzogen;;§Y[Actor.GetTitledName]§! retiró un título a §Y[Recipient.GetTitledName]§!;;;;;;;;;x
GRANT_LANDED_TITLE_INTERACTION_VOTE;§Y[Actor.GetTitledName]§! granted a landed title to §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! a accordé un titre terrien à §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! hat §Y[Recipient.GetTitledName]§! einen Landtitel gewährt;;§Y[Actor.GetTitledName]§! otorgó un título a §Y[Recipient.GetTitledName]§!;;;;;;;;;x
IMPRISON_INTERACTION_VOTE;§Y[Actor.GetTitledName]§! imprisoned §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! a emprisonné §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! kerkerte §Y[Recipient.GetTitledName]§! ein;;§Y[Actor.GetTitledName]§! encarcela a §Y[Recipient.GetTitledName]§!;;;;;;;;;x
EXILE_IMPRISONED_VOTE;§Y[Actor.GetTitledName]§! banished §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! a banni §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! verbannte §Y[Recipient.GetTitledName]§!;;§Y[Actor.GetTitledName]§! destierra a §Y[Recipient.GetTitledName]§!;;;;;;;;;x
EXECUTE_IMPRISONED_VOTE;§Y[Actor.GetTitledName]§! executed §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! a exécuté §Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! richtete §Y[Recipient.GetTitledName]§! hin;;§Y[Actor.GetTitledName]§! ejecuta a §Y[Recipient.GetTitledName]§!;;;;;;;;;x
WAR_INVALID_CHARACTER_VASSALIZED;\n($CHARACTER$ got vassalized);\n($CHARACTER$ a été vassalisé);\n($CHARACTER$ wurden vasallisiert);;\n($CHARACTER$ se convierte en vasallo);;;;;;;;;x
TRIBUTARY_INCOME_DESC;* Tributary provides $VALUE|Y$% of their income to their suzerain;* Les tributaires fournissent $VALUE|Y%$ de leur revenu à leur suzerain;* Tributstaat gibt §Y$VALUE$%§! seines Einkommens an seinen Lehnsherrn;;* Tributario proporciona $VALUE|Y$% de sus ingresos a su soberano;;;;;;;;;x
TRIBUTARY_REINFORCEMENT_DESC;* Tributary provides $VALUE|Y$% of their reinforcements to their suzerain;* Les tributaires fournissent $VALUE|Y%$ de leur renforts à leur suzerain;* Tributstaat gibt §Y$VALUE$%§! seines Verstärkungsaufgebots an seinen Lehnsherrn;;* Tributario proporciona $VALUE|Y$% de sus refuerzos a su soberano;;;;;;;;;x
TRIBUTARY_PRESTIGE_SUZERAIN_DESC;* Suzerain's Prestige changes by $VALUE|Y$ a month;* Le prestige du suzerain change de $VALUE|Y$ par mois;* Prestige des Lehnsherrn ändert sich monatlich um $VALUE|Y$;;* Prestigio del soberano cambia en $VALUE|Y$ al mes;;;;;;;;;x
TRIBUTARY_PRESTIGE_TRIBUTARY_DESC;* Tributary's Prestige changes by $VALUE|Y$ a month;* Le prestige du tributaire change de $VALUE|Y$ par mois;* Prestige des Tributstaates ändert sich monatlich um $VALUE|Y$;;* Prestigio del tributario cambia en $VALUE|Y$ al mes;;;;;;;;;x
TRIBUTARY_PIETY_SUZERAIN_DESC;* Suzerain's Piety changes by $VALUE|Y$ a month;* La piété du suzerain change de $VALUE|Y$ par mois;* Pietät des Lehnsherrn ändert sich monatlich um $VALUE|Y$;;* Piedad del soberano cambia en $VALUE|Y$ al mes;;;;;;;;;x
TRIBUTARY_PIETY_TRIBUTARY_DESC;* Tributary's Piety changes by $VALUE|Y$ a month;* Le piété du tributaire change de $VALUE|Y$ par mois;* Prestige des Tributstaates ändert sich monatlich um $VALUE|Y$;;* Piedad del tributario cambia en $VALUE|Y$ al mes;;;;;;;;;x
TRIBUTARY_BREAKS_ON_SUZERAIN_DEATH;* Tributary relationship breaks when the suzerain dies;* Les relations tributaires cessent lorsque le suzerain meurt;* Tributverpflichtung endet bei Tod des Lehnsherrn;;* Relación tributaria se rompe al morir el soberano;;;;;;;;;x
TRIBUTARY_BREAKS_ON_TRIBUTARY_DEATH;* Tributary relationship breaks when the tributary dies;* Les relations tributaires cessent lorsque le tributaire meurt;* Tributverpflichtung endet bei Tod des Tributstaates;;* Relación tributaria se rompe al morir el tributario;;;;;;;;;x
TRIBUTARY_BREAKS_ON_REALM_CHANGE;* Tributary relationship breaks when either party becomes part of a different realm;* Les relations tributaires cessent lorsque une des parties intègre un autre pays;* Tributverpflichtung endet, wenn eine der beiden Parteien Teil eines anderen Reiches werden;;* Relación tributaria se rompe cuando cualquiera de las partes forme parte de un reino distinto;;;;;;;;;x
TRIBUTARY_CAN_CALL_SUZERAIN;* Tributary can call their suzerain into wars;* Le tributaire peut appeler son suzerain à la guerre;* Tributstaaten können ihren Lehnsherrn in den Krieg rufen;;* Tributario puede llamar a su soberano a la guerra;;;;;;;;;x
TRIBUTARY_SUZERAIN_MUST_DEFEND;* Suzerain cannot refuse calls into defensive wars;* Le suzerain ne peut pas refuser un appel à la guerre défensif;* Lehnsherrn können Verteidigungskriege nicht ablehnen;;* Soberano no puede rechazar llamadas a guerras defensivas;;;;;;;;;x
TRIBUTARY_CAN_CALL_TRIBUTARY;* Suzerain can call the tributary into wars;* Le suzerain peut appeler le tributaire à la guerre;* Lehnsherrn können Tributstaaten in Kriege rufen;;* Soberano puede llamar al tributario a la guerra;;;;;;;;;x
TRIBUTARY_TRIBUTARY_MUST_DEFEND;* Tributary cannot refuse calls into defensive wars;* Le tributaire ne peut pas refuser un appel à la guerre défensif;* Tributstaaten können Verteidigungskriege nicht ablehnen;;* Tributario no puede rechazar llamadas a guerras defensivas;;;;;;;;;x
TRIBUTARY_TRIBUTARIES_CAN_INFIGHT;* Tributary can fight other tributaries;* Le tributaire peut combattre d'autres tributaires;* Tributstaaten können andere Tributstaaten bekämpfen;;* Tributario puede luchar contra otros tributarios;;;;;;;;;x
TRIBUTARY_SUZERAIN_CAN_JOIN_INFIGHTING;* Suzerain can intervene in tributary infighting;* Le suzerain peut intervenir dans des guerres entre tributaires;* Lehnsherr kann in den Krieg zwischen Tributstaaten eingreifen;;* Soberano puede intervenir en guerras intestinas de tributarios;;;;;;;;;x
TRIBUTARY_TRIBUTARIES_CAN_UNITE;* Tributary can call other tributaries into war against their suzerain;* Un tributaire peut appeler d'autre tributaires à la guerre contre leur suzerain;* Tributstaaten können andere Tributstaaten in den Krieg gegen ihren Lehnsherrn rufen;;* Tributario puede llamar a otros tributarios a guerras contra su soberano;;;;;;;;;x
HAVE_NOT_RELIGION;Is NOT the $RELIGION|Y$ religion;N'est pas la religion $RELIGION|Y$;Hat NICHT die Religion $RELIGION|Y$;;NO es la religión $RELIGION|Y$;;;;;;;;;x
HAVE_RELIGION;Is the $RELIGION|Y$ religion;Est la religion $RELIGION|Y$;Hat die Religion $RELIGION|Y$;;Es la religión $RELIGION|Y$;;;;;;;;;x
HAVE_NOT_RELIGION_GROUP;Is NOT in the $RELIGION_GROUP|Y$ religion group;N'est pas dans le groupe religieux $RELIGION_GROUP|Y$;Ist NICHT in der Religionsgruppe $RELIGION_GROUP|Y$;;NO está en el grupo religioso $RELIGION_GROUP|Y$;;;;;;;;;x
HAVE_RELIGION_GROUP;Is in the $RELIGION_GROUP|Y$ religion group;Est dans le groupe religieux $RELIGION_GROUP|Y$;Ist in der Religionsgruppe $RELIGION_GROUP|Y$;;Está en el grupo religioso $RELIGION_GROUP|Y$;;;;;;;;;x
MAKE_TRIBUTARY_EFFECT;$TRIBUTARY|Y$ becomes $TRIBUTARY_TYPE|Y$ of $OVERLORD|Y$;$TRIBUTARY|Y$ devient $TRIBUTARY_TYPE|Y$ de $OVERLORD|Y$;$TRIBUTARY|Y$ wird $TRIBUTARY_TYPE|Y$ von $OVERLORD|Y$;;$TRIBUTARY|Y$ se convierte en $TRIBUTARY_TYPE|Y$ de $OVERLORD|Y$;;;;;;;;;x
TRADEPOST_COST_OP_OWN_EFFECT;You own the province: $EFFECT$;Vous possédez la province: $EFFECT$;Ihr besitzt die Provinz: $EFFECT$;;Posees la provincia: $EFFECT$;;;;;;;;;x
NAVY_TARGET_INLAND;§RCannot sail inland§!;§RNe peut pas naviguer à l'intérieur des terres§!;§RKann nicht im Landesinneren segeln§!;;§RNo puedes navegar por tierra§!;;;;;;;;;x
NAVY_NOT_ALLOWED_ON_MAJOR_RIVERS;§RCannot sail on rivers§!;§RNe peut pas naviguer sur les fleuves§!;§RKann nicht auf Flüssen segeln§!;;§RNo puedes navegar por ríos§!;;;;;;;;;x
NAVY_NOT_ALLOWED_MAJOR_RIVERS_FORT_LEVEL;§RFort level prevents sailing on this river§!;§RLe niveau de fortification empêche de naviguer sur ce fleuve§!;§RFestungsstufe verbietet das Segeln auf diesem Fluss§!;;§RNivel de fortaleza impide navegar en este río§!;;;;;;;;;x
ARMY_TARGET_SEA;§RCannot march into the sea§!;§RNe peut pas marcher sur l'eau§!;§RKann nicht ins Meer marschieren§!;;§RNo puedes marchar por el mar§!;;;;;;;;;x
UNIT_NO_VALID_PATH;§RNo valid path to this province§!;§RPas de chemin valide vers cette province§!;§RKein Gültiger Weg zu dieser Provinz§!;;§RNo hay un camino válido a esta provincia§!;;;;;;;;;x
opinion_imprisoned;In Prison;En prison;Im Kerker;;En prisión;;;;;;;;;x
EVTDESC_JD_70002;A noble by the name of [escaped_chinese_noble.GetFullName] came to court today seeking asylum. [escaped_chinese_noble.GetSheHeCap] claims to have escaped from China after the rest of [escaped_chinese_noble.GetHerHis] family was executed on orders of the Emperor. "Oh great [Root.GetTitle], your merciful nature is known across the land. I implore you to grant me refuge. It would be an untold kindness!";Un[escaped_chinese_noble.GetNoneE] noble du nom de [escaped_chinese_noble.GetFullName] est venu[escaped_chinese_noble.GetNoneE] à la cour aujourd'hui à la recherche d'un refuge. [escaped_chinese_noble.GetIlElleCap] affirme avoir fui la Chine après que le reste de sa famille a été exécutée sur ordre de l'Empereur. « Oh grand[Root.GetNoneE] [Root.GetTitle], votre nature miséricordieuse est connue de tous. Je vous implore de m'accorder l'asile. »;Ein Adliger, bekannt unter dem Namen [escaped_chinese_noble.GetFullName], kam heute an den Hof und ersuchte Asyl. [escaped_chinese_noble.GetSheHeCap] behauptet aus China geflohen zu sein, nachdem der Rest [escaped_chinese_noble.GetHerHis]er Familie auf Befehl des Kaisers hingerichtet wurde. "Oh großer [Root.GetTitle], Eure barmherzige Natur ist im ganzen Land bekannt. Ich flehe Euch an, mir Zuflucht zu gewähren. Es wäre eine unermessliche Güte!";;"Un noble de nombre [escaped_chinese_noble.GetFullName] llega hoy a la corte buscando asilo. Afirma haber escapado de China después de que el resto de su familia fuera ejecutada por orden del emperador. ""Oh, gran [Root.GetTitle], vuestra naturaleza clemente es bien conocida por todas las tierras. Os imploro que me deis refugio. ¡Sería una bondad indecible!""";;;;;;;;x;
EVTOPTA_JD_70002;Of course you are welcome to stay.;Bien entendu que vous pouvez rester.;Natürlich könnt ihr bleiben.;;Por supuesto, puedes quedarte sin problemas.;;;;;;;;x;
