#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
secretly_convert_to_province_religion_desc;The §Y[Root.Location.Religion.GetName]§! people in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. The glory of §Y[Root.Location.Religion.GetRandomGodName]§! calls to me, and I am tempted to convert in secrecy...;Les personnes de religion §Y[Root.Location.Religion.GetName]§! en §Y[Root.Location.GetName]§! m'impressionnent par la profondeur et la passion de leur foi. La gloire §Y[Root.Location.GetHighGodDuDelaDes]§! m'appelle, et je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Y[Root.Location.Religion.GetName]en§! Menschen in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Die Glorie von §Y[Root.Capital.Religion.GetRandomGodName]§! zieht mich an und ich bin versucht, heimlich zu konvertieren ...;;La gente del credo §Y[Root.Location.Religion.GetName]§! de §Y[Root.Location.GetName]§! me impresiona con la profundidad y la pasión de su fe. La gloria de §Y[Root.Capital.Religion.GetRandomGodName]§! me llama, y siento la tentación de convertirme en secreto...;;;;;;;;;x
secretly_convert_to_close_relations_religion;Secretly Convert to [Root.Religion.GetName];Adopter en secret la foi [Root.Religion.GetName];Heimlich zur Religion [Root.Religion.GetName] konvertieren;;Convertirse en secreto a esta religión: [Root.Religion.GetName];;;;;;;;;x
secretly_convert_to_close_relations_religion_desc;The §Y[Root.Religion.GetName]§! faith of §Y[Root.GetFirstName]§! intrigues and fascinates me. I could not embrace it openly, but I am tempted to convert in secrecy...;La foi §Y[Root.Religion.GetName]§! de §Y[Root.GetFirstName]§! m'intrigue et me fascine. Je ne peux pas l'embrasser ouvertement, mais je suis tenté[Root.GetNoneE] de me convertir en secret...;Der Glaube von §Y[Root.GetFirstName]§! an die §Y[Root.Religion.GetName]e§! Religion interessiert und fasziniert mich. Ich könnte den Glauben nicht offen annehmen, bin jedoch versucht, heimlich zu konvertieren ...;;El credo §Y[Root.Religion.GetName]§! de §Y[Root.GetFirstName]§! me intriga y fascina. No podría abrazarlo abiertamente, pero siento la tentación de convertirme en secreto...;;;;;;;;;x
secret_cathar_community;Secret Cathar Community;Communauté cathare secrète;Geheime Katharer-Gemeinde;;Comunidad cátara secreta;;;;;;;;;x
secret_cathar_community_desc;In secret, Cathar faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles cathares ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Katharer heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles cátaros se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_fraticelli_community;Secret Fraticelli Community;Communauté fraticelle secrète;Geheime Fratizellen-Gemeinde;;Comunidad fraticelli secreta;;;;;;;;;x
secret_fraticelli_community_desc;In secret, Fraticelli faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles fraticelles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Fratizellen heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles fraticelli se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_waldensian_community;Secret Waldensian Community;Communauté vaudoise secrète;Geheime Waldenser-Gemeinde;;Comunidad valdense secreta;;;;;;;;;x
secret_waldensian_community_desc;In secret, Waldensian faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles vaudois ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Waldenser heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles valdenses se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_lollard_community;Secret Lollard Community;Communauté lollarde secrète;Geheime Lollarden-Gemeinde;;Comunidad lolarda secreta;;;;;;;;;x
secret_lollard_community_desc;In secret, Lollard faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles lollards ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Lollarden heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles lolardos se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_miaphysite_community;Secret Miaphysite Community;Communauté miaphysite secrète;Geheime Miaphysiten-Gemeinde;;Comunidad miafisita secreta;;;;;;;;;x
secret_miaphysite_community_desc;In secret, Miaphysite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles miaphysites ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Miaphysiten heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles miafisitas se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_monophysite_community;Secret Monophysite Community;Communauté monophysite secrète;Geheime Monophysiten-Gemeinde;;Comunidad monofisita secreta;;;;;;;;;x
secret_monophysite_community_desc;In secret, Monophysite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles monophysites ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Monophysiten heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles monofisitas se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_bogomilist_community;Secret Bogolimist Community;Communauté bogomile secrète;Geheime Bogolimisten-Gemeinde;;Comunidad bogomila secreta;;;;;;;;;x
secret_bogomilist_community_desc;In secret, Bogolimist faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles bogomiles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Bogolimisten heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles bogomilos se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_monothelite_community;Secret Monothelite Community;Communauté monothélite secrète;Geheime Monotheliten-Gemeinde;;Comunidad monotelita secreta;;;;;;;;;x
secret_monothelite_community_desc;In secret, Monothelite faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles monothélites ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Monotheliten heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles monotelitas se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_iconoclast_community;Secret Iconoclast Community;Communauté iconoclaste secrète;Geheime Bilderstürmer-Gemeinde;;Comunidad iconoclasta secreta;;;;;;;;;x
secret_iconoclast_community_desc;In secret, Iconoclast faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles iconoclastes ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Bilderstürmer heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles iconoclastas se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_paulician_community;Secret Paulician Community;Communauté paulicienne secrète;Geheime Paulikianer-Gemeinde;;Comunidad pauliciana secreta;;;;;;;;;x
secret_paulician_community_desc;In secret, Paulician faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles pauliciens ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Paulikianer heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles paulicianos se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_nestorian_community;Secret Nestorian Community;Communauté nestorienne secrète;Geheime Nestorianer-Gemeinde;;Comunidad nestoriana secreta;;;;;;;;;x
secret_nestorian_community_desc;In secret, Nestorian faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles nestoriens ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Nestorianer heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles nestorianos se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_messalian_community;Secret Messalian Community;Communauté messalienne secrète;Geheime Messalianer-Gemeinde;;Comunidad mesaliana secreta;;;;;;;;;x
secret_messalian_community_desc;In secret, Messalian faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles messaliens ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Messalianer heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles mesalianos se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_zikri_community;Secret Zikri Community;Communauté zikrie secrète;Geheime Zikri-Gemeinde;;Comunidad zikri secreta;;;;;;;;;x
secret_zikri_community_desc;In secret, Zikri faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles zikris ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Zikris heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles zikris se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_yazidi_community;Secret Yazidi Community;Communauté yézidie secrète;Geheime Jesiden-Gemeinde;;Comunidad yazidí secreta;;;;;;;;;x
secret_yazidi_community_desc;In secret, Yazidi faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles yézidis ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Jesiden heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles yazidíes se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_ibadi_community;Secret Ibadi Community;Communauté ibadite secrète;Geheime Ibadi-Gemeinde;;Comunidad ibadí secreta;;;;;;;;;x
secret_ibadi_community_desc;In secret, Ibadi faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ibadites ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Ibadi heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;En secreto, los fieles ibadíes se han organizado en torno a una pequeña comunidad eclesiástica en esta provincia. De este modo convierten a otros, crecen y protegen a los suyos.;;;;;;;;;x
secret_kharijite_community;Secret Kharijite Community;Communauté kharidjite secrète;Geheime Charidschiten-Gemeinde;;Comunidad jariyista secreta;;;;;;;;;x
